document,source_sha256,section_start,section_end,title,nonblank_lines,status,evidence,evidence_sha256,boundary
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,1,15,你现在负责本项目的 Phase -1：,10,context,benchmarks/discovery/BENCHMARK_SELECTION_REPORT.md,0e8b8fb9fb2d654dc53edf8179c6cc0531ca77ede65b18ab7281e6b869d52f03,Phase preamble and objective; assessed by the following sections.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,16,54,0. 核心原则,26,partial,benchmarks/discovery/BENCHMARK_SELECTION_REPORT.md,0e8b8fb9fb2d654dc53edf8179c6cc0531ca77ede65b18ab7281e6b869d52f03,"Failure-first principles are followed by current selection, but retrospective evidence cannot prove original execution order."
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,55,99,1. 先检查现有 repo,32,partial,feature_bank/results/historical_source_recovery_audit.json,26fe72ad14dc8ea5bfa6af4c90b0ddef283d9191d866d531e26f08023d07cc9a,All four available GitHub refs and their histories were searched; exact historical algorithms remain unavailable outside current reference implementations.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,100,167,2. Dataset 选择评分体系,54,partial,benchmarks/discovery/SCORE_REVIEW.md,be4349343212f9a766d6130531851c276aed4f560a4a8ec3b12d5f429b12630a,Fourteen retrospective A-H scorecards are inspectable; their timing before acquisition/training is not proven.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,168,649,3. 强制研究以下候选,318,partial,benchmarks/discovery/DATASET_CANDIDATES.csv,3d9f5885319f18ca9ba24c9f581613d75e4deba6e2eb6ad7f5f7a21dd386ff25,Mandatory candidates were researched and bounded; historical DS2 archive identity and some secondary provenance remain incomplete.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,650,777,4. Failure → Benchmark 映射,90,verified_narrow,benchmarks/discovery/FAILURE_BENCHMARK_MATRIX.md,4eb02fad7461536943013646d97e1f8b952e0f58a13232a2b0cc65d7dddfc1c5,Capability mapping is explicit and missing axes remain N/A; this does not validate every proposed secondary dataset.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,778,783,5. 不要一次全下载,4,partial,benchmarks/discovery/DATASET_MANIFEST.json,08ba11deb1d550f1073b8874df0fc0d5220917adf4bfdeff2ad3727551a2cf29,"Tiered acquisition is represented in the manifest, but original tier-by-tier timing is not reconstructable."
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,784,806,Tier 0：metadata only,18,verified_narrow,benchmarks/discovery/DATASET_CANDIDATES.csv,3d9f5885319f18ca9ba24c9f581613d75e4deba6e2eb6ad7f5f7a21dd386ff25,Metadata-only candidate evidence is retained.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,807,834,Tier 1：核心 benchmark,21,partial,benchmarks/discovery/DATASET_MANIFEST.json,08ba11deb1d550f1073b8874df0fc0d5220917adf4bfdeff2ad3727551a2cf29,Six core archives are present and size checked; exact historical DS2 is absent.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,835,847,Tier 2：验证 / secondary,10,partial,benchmarks/discovery/DATASET_CANDIDATES.csv,3d9f5885319f18ca9ba24c9f581613d75e4deba6e2eb6ad7f5f7a21dd386ff25,Secondary candidates are scored; not every candidate was downloaded because capability gaps and cost boundaries are recorded.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,848,858,Tier 3：large / future,8,verified_narrow,benchmarks/discovery/DISK_USAGE.json,1e29d9a386ce4784f50f26fec88b8263ac5927207f8cce4935c5b0c635d8adfb,Large/future sources remain deferred with cost evidence.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,859,904,6. 下载安全规则,32,partial,benchmarks/discovery/DATASET_MANIFEST.json,08ba11deb1d550f1073b8874df0fc0d5220917adf4bfdeff2ad3727551a2cf29,"Staged paths, sizes and extraction boundaries are recorded; old acquisition logs cannot prove every transient download safety step."
