document,source_sha256,line,text,verification_status,evidence,evidence_boundary
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,1,你现在负责本项目的 Phase -1：,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,3,DATASET DISCOVERY + BENCHMARK SELECTION + DOWNLOAD,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,5,本阶段不要训练新模型，不要实现 Feature Bank。,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,6,任务是为后续：,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,8,Feature Bank,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,9,+ Personal Calibration,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,10,+ Session Calibration,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,11,+ Robustness Audit,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,13,建立一套针对真实 failure 的公开 sEMG benchmark suite。,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,15,==================================================,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,16,0. 核心原则,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,17,==================================================,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,19,不要“搜到 EMG dataset 就下载”。,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,21,我们的目标不是数据越多越好，而是：,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
docx_pre.txt,9b70fb41ebbb4f8183e19533facf80df81b1d7ce73bd3a976a2714347d3f11d8,23,每个真实 failure 至少找到一个,unverified,,Requires contextual requirement-by-requirement review; inclusion is not completion.
